Precinct,ResultType,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Mitchell 11,SDE,0.0,0.075,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.075,0.0,0.0
Mitchell 5,First,0,4,0,6,0,0,8,0,0,0,0,0,0,0
Mitchell 5,Final,0,4,0,6,0,0,8,0,0,0,0,0,0,0
Mitchell 5,SDE,0.0,0.075,0.0,0.075,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell 10,First,0,0,0,9,0,0,8,0,4,0,0,0,0,0
Mitchell 10,Final,0,0,0,9,0,0,8,0,4,0,0,0,0,0
Mitchell 10,SDE,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.075,0.0,0.0,0.0,0.0,0.0
Mitchell 8,First,0,9,0,2,0,1,13,0,7,4,5,0,0,0
Mitchell 8,Final,0,14,0,0,0,0,15,0,12,0,0,0,0,0
Mitchell 8,SDE,0.0,0.15,0.0,0.0,0.0,0.0,0.225,0.0,0.15,0.0,0.0,0.0,0.0,0.0
OSAGE 01 (Mitchell 5),First,0,8,0,3,0,0,6,0,6,0,4,5,0,0
OSAGE 01 (Mitchell 5),Final,0,11,0,0,0,0,8,0,8,0,0,5,0,0
OSAGE 01 (Mitchell 5),SDE,0.0,0.225,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.075,0.0,0.0
Mitchell 9,First,0,9,0,15,0,0,9,0,10,3,3,0,0,0
Mitchell 9,Final,0,10,0,15,0,0,10,0,11,0,0,0,0,0
Mitchell 9,SDE,0.0,0.15,0.0,0.3,0.0,0.0,0.225,0.0,0.225,0.0,0.0,0.0,0.0,0.0
OSAGE 03 (Mitchell 7),First,0,5,0,3,0,0,10,0,2,0,7,1,0,0
OSAGE 03 (Mitchell 7),Final,0,6,0,0,0,0,14,0,0,0,7,0,0,0
OSAGE 03 (Mitchell 7),SDE,0.0,0.15,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.15,0.0,0.0,0.0
Mitchell 6,First,0,1,0,7,0,0,11,0,1,0,7,1,0,0
Mitchell 6,Final,0,0,0,9,0,0,12,0,0,0,7,0,0,0
Mitchell 6,SDE,0.0,0.0,0.0,0.225,0.0,0.0,0.225,0.0,0.0,0.0,0.15,0.0,0.0,0.0
OSAGE 04 (Mitchell 8),First,0,5,0,10,0,0,8,0,2,0,5,2,0,0
OSAGE 04 (Mitchell 8),Final,0,5,0,10,0,0,9,0,0,0,6,2,0,0
OSAGE 04 (Mitchell 8),SDE,0.0,0.075,0.0,0.225,0.0,0.0,0.225,0.0,0.0,0.0,0.15,0.0,0.0,0.0
OSAGE 02 (Mitchell 6),First,0,4,0,9,0,0,8,0,4,1,6,2,0,3
OSAGE 02 (Mitchell 6),Final,0,6,0,11,0,0,11,0,0,0,9,0,0,0
OSAGE 02 (Mitchell 6),SDE,0.0,0.075,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.075,0.0,0.0,0.0
CASTANA CENTER JORDAN,First,0,0,0,3,0,0,3,0,2,0,5,0,0,0
CASTANA CENTER JORDAN,Final,0,0,0,3,0,0,3,0,2,0,5,0,0,0
CASTANA CENTER JORDAN,SDE,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0
ST CLAIR UTE,First,0,0,0,3,0,0,3,0,2,0,3,0,0,0
ST CLAIR UTE,Final,0,0,0,3,0,0,3,0,2,0,3,0,0,0
ST CLAIR UTE,SDE,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0
ASHTON BELVIDERE KENNEBEC LINCOLN FRANKLIN TURIN,First,0,0,0,4,0,0,8,0,4,0,3,0,0,0
ASHTON BELVIDERE KENNEBEC LINCOLN FRANKLIN TURIN,Final,0,0,0,4,0,0,8,0,4,0,3,0,0,0
ASHTON BELVIDERE KENNEBEC LINCOLN FRANKLIN TURIN,SDE,0.0,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.1,0.0,0.05,0.0,0.0,0.0
