precinct,precinct_id,total_attendance,bennet first_alignment,bennet final_alignment,bennet county_delegates,biden first_alignment,biden final_alignment,biden county_delegates,buttigieg first_alignment,buttigieg final_alignment,buttigieg county_delegates,delaney first_alignment,delaney final_alignment,delaney county_delegates,gabbard first_alignment,gabbard final_alignment,gabbard county_delegates,klobuchar first_alignment,klobuchar final_alignment,klobuchar county_delegates,patrick first_alignment,patrick final_alignment,patrick county_delegates,sanders first_alignment,sanders final_alignment,sanders county_delegates,steyer first_alignment,steyer final_alignment,steyer county_delegates,uncommitted first_alignment,uncommitted final_alignment,uncommitted county_delegates,warren first_alignment,warren final_alignment,warren county_delegates,yang first_alignment,yang final_alignment,yang county_delegates
Clark - 5570,Clark - 5570,69,0,0,0,17,22,5,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,19,21,4,14,22,4,0,1,0,4,0,0,0,0,0
Washoe - 740700,Washoe - 740700,26,0,0,0,0,0,0,9,12,2,0,0,0,0,0,0,3,0,0,0,0,0,7,9,2,5,5,1,0,0,0,2,0,0,0,0,0
Washoe - 103100,Washoe - 103100,99,0,0,0,16,18,1,20,21,1,0,0,0,1,0,0,27,28,2,0,0,0,15,16,1,3,0,0,0,0,0,16,15,1,1,0,0
Carson City - 407,Carson City - 407,111,0,0,0,18,18,1,22,22,2,0,0,0,1,0,0,17,17,2,0,0,0,35,35,3,12,0,0,0,0,0,4,8,0,0,0,0
Carson City - 405,Carson City - 405,106,0,0,0,19,24,2,18,20,2,0,0,0,0,0,0,16,23,2,0,0,0,29,38,4,11,9,0,0,0,0,12,6,0,1,0,0
Clark - 5003,Clark - 5003,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,2,1,2,2,2,0,0,0,1,1,1,0,0,0
Washoe - 812800,Washoe - 812800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0
Washoe - 820400,Washoe - 820400,6,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Clark - 5580,Clark - 5580,62,0,0,0,12,15,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,12,7,0,0,1,0,0,4,0,0,0,0,0
Elko - 21,Elko - 21,12,0,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,3,3,1,0,0,0
Elko - 20,Elko - 20,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,5,2,0,0,0,7,8,2,0,0,0,0,0,0,5,5,2,0,0,0
Clark - 2444,Clark - 2444,10,0,0,0,4,5,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Clark - 3535,Clark - 3535,3,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Washoe - 303600,Washoe - 303600,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,3,1,0,0,0,0,0,0,0,0,0,0,0
Douglas - 5,Douglas - 5,89,0,0,0,8,0,0,29,41,2,0,0,0,0,0,0,20,37,2,0,0,0,13,0,0,10,0,0,0,1,0,9,7,0,0,0,0
Clark - 6649,Clark - 6649,72,0,0,0,9,0,0,17,26,6,0,0,0,0,0,0,0,0,0,0,0,0,33,40,8,4,0,0,1,0,0,8,0,0,0,0,0
Clark - 6477,Clark - 6477,53,0,0,0,12,14,2,11,16,2,0,0,0,0,0,0,6,0,0,0,0,0,11,11,1,6,0,0,0,0,0,7,12,2,0,0,0
Carson City - 309,Carson City - 309,161,0,0,0,27,43,2,22,0,0,0,0,0,2,0,0,39,72,4,0,0,0,30,42,2,20,0,0,1,0,0,17,0,0,3,0,0
Washoe - 201600,Washoe - 201600,62,0,0,0,7,0,0,12,22,1,0,0,0,0,0,0,9,0,0,0,0,0,10,13,1,7,0,0,0,0,0,16,23,2,0,0,0
Clark - 1681,Clark - 1681,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Washoe - 301500,Washoe - 301500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Clark - 5613,Clark - 5613,51,0,0,0,9,14,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,37,8,3,0,0,0,0,0,3,0,0,0,0,0
Washoe - 652500,Washoe - 652500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Clark - 2611,Clark - 2611,93,0,0,0,21,33,6,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,42,57,9,4,0,0,0,0,0,8,0,0,1,0,0
Clark - 2613,Clark - 2613,74,0,0,0,4,0,0,21,25,4,0,0,0,0,0,0,6,0,0,0,0,0,27,30,5,4,0,0,0,0,0,12,17,3,0,0,0
Elko - 33,Elko - 33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
